timestamp,symbol,side,size,price,tickDirection,trdMatchID,grossValue,homeNotional,foreignNotional,RPI
1763251202.9867,BTCUSDT,Buy,0.001,95577.50,ZeroPlusTick,921c8c63-5c90-5454-949a-2679a37b791e,9.55775e+09,0.001,95.5775,0
1763251202.9972,BTCUSDT,Buy,0.003,95578.70,PlusTick,6cb8a740-d829-5041-b453-65332204bc0e,2.8673610000000004e+10,0.003,286.7361,0
1763251202.9972,BTCUSDT,Buy,0.001,95578.70,ZeroPlusTick,51f412a0-9485-573e-90c7-2d8f11a870fe,9.55787e+09,0.001,95.5787,0
1763251203.0789,BTCUSDT,Buy,0.01,95578.80,PlusTick,daa3be82-964f-54da-ba9e-69dd6885ba1a,9.55788e+10,0.01,955.788,0
1763251203.0789,BTCUSDT,Buy,0.001,95578.80,ZeroPlusTick,6b2103e7-4948-5ac3-b410-e49ee62ac7d1,9.55788e+09,0.001,95.5788,0
1763251203.0789,BTCUSDT,Buy,0.015,95578.80,ZeroPlusTick,dd96a0ab-f908-5d89-9052-a6d93acaff43,1.433682e+11,0.015,1433.682,0
1763251203.0789,BTCUSDT,Buy,0.068,95578.80,ZeroPlusTick,efaada09-fbd0-5ef4-99e2-9d3638d6c44c,6.499358400000001e+11,0.068,6499.358400000001,0
1763251203.0789,BTCUSDT,Buy,0.099,95578.80,ZeroPlusTick,af825e25-0fc2-554f-a080-72a8a3f3d1eb,9.4623012e+11,0.099,9462.3012,0
1763251203.0789,BTCUSDT,Buy,0.177,95578.80,ZeroPlusTick,199dc317-910b-5835-9e9d-6edb9bd594f0,1.69174476e+12,0.177,16917.4476,0
1763251203.0789,BTCUSDT,Buy,0.028,95578.80,ZeroPlusTick,c39269ea-d1d3-50a9-bb71-8aa2da3b9a43,2.6762064e+11,0.028,2676.2064,0
1763251203.0789,BTCUSDT,Buy,0.27,95578.80,ZeroPlusTick,689c7fcc-0f1d-51f6-bd7e-21126a299821,2.5806276e+12,0.27,25806.276,0
1763251203.0789,BTCUSDT,Buy,0.232,95578.80,ZeroPlusTick,26ed7df0-b78d-55dd-9abf-4a08f9a80516,2.21742816e+12,0.232,22174.281600000002,0
1763251203.0789,BTCUSDT,Buy,0.251,95578.80,ZeroPlusTick,88fd423c-5666-56ee-8546-e66482d5b1f4,2.39902788e+12,0.251,23990.2788,0
1763251203.0789,BTCUSDT,Buy,0.232,95578.80,ZeroPlusTick,3680a556-8a03-51fa-927d-ec3c535f49cb,2.21742816e+12,0.232,22174.281600000002,0
1763251203.0789,BTCUSDT,Buy,0.285,95578.80,ZeroPlusTick,bc4dac92-cb09-50cc-9894-fb0a2f17f5a7,2.7239958e+12,0.285,27239.958,0
1763251203.0789,BTCUSDT,Buy,0.004,95578.80,ZeroPlusTick,e7f5fff1-35b6-549a-a241-3836abb289bc,3.823152e+10,0.004,382.3152,0
1763251203.0789,BTCUSDT,Buy,0.36,95578.80,ZeroPlusTick,35d98acb-bb4c-5500-a1cd-e8a5830b0763,3.4408368e+12,0.36,34408.368,0
1763251203.0789,BTCUSDT,Buy,0.209,95578.80,ZeroPlusTick,b615c5f5-7520-5f0e-a4c1-3c6c375102ef,1.99759692e+12,0.209,19975.9692,0
1763251203.0789,BTCUSDT,Buy,0.02,95578.90,PlusTick,ca6bf246-7ff5-51b9-b3be-07070fbb4d3c,1.911578e+11,0.02,1911.578,0
1763251203.0789,BTCUSDT,Buy,0.001,95579.60,PlusTick,3a5cc44b-846c-5fe5-ab16-0aeb56ebda09,9.557960000000002e+09,0.001,95.57960000000001,0
1763251203.0789,BTCUSDT,Buy,0.001,95580.00,PlusTick,5900385d-7743-5f11-9c20-ff5f6d890f30,9.558e+09,0.001,95.58,0
1763251203.0789,BTCUSDT,Buy,0.001,95580.00,ZeroPlusTick,d6727ac2-83a6-5cf2-a352-91fa1667c166,9.558e+09,0.001,95.58,0
1763251203.0789,BTCUSDT,Buy,0.002,95580.30,PlusTick,47adcf01-90f5-53fd-a622-235580c3b7e9,1.911606e+10,0.002,191.16060000000002,0
1763251203.0789,BTCUSDT,Buy,0.001,95581.20,PlusTick,e89d6e6b-38b1-597f-89b4-53624170222a,9.55812e+09,0.001,95.5812,0
1763251203.0789,BTCUSDT,Buy,0.001,95581.20,ZeroPlusTick,b2138912-e525-5561-87fc-7d732954837f,9.55812e+09,0.001,95.5812,0
1763251203.0789,BTCUSDT,Buy,0.009,95581.30,PlusTick,23fcd339-abea-58c8-ba34-a72fdc6ae199,8.602317e+10,0.009,860.2316999999999,0
1763251203.0901,BTCUSDT,Buy,0.001,95581.70,PlusTick,b96de281-5787-5ca6-bc61-8a6ee9ccfb87,9.55817e+09,0.001,95.5817,0
1763251203.0905,BTCUSDT,Buy,0.005,95581.70,ZeroPlusTick,4f2dbc74-92fa-56da-82c3-88a3286d2e2d,4.779085e+10,0.005,477.9085,0
1763251204.1677,BTCUSDT,Sell,0.001,95581.60,MinusTick,09b5c8ff-e911-50fb-9e88-3bb36d12bcf8,9.55816e+09,0.001,95.58160000000001,0
1763251204.2396,BTCUSDT,Buy,0.001,95581.70,PlusTick,722eeccd-32b1-5929-bc3d-a7eb82159a0f,9.55817e+09,0.001,95.5817,0
1763251204.2396,BTCUSDT,Buy,0.001,95581.70,ZeroPlusTick,864d3415-2413-57bc-8d89-d0b9da3a81fa,9.55817e+09,0.001,95.5817,0
1763251204.2396,BTCUSDT,Buy,0.001,95581.70,ZeroPlusTick,c4f3002a-d616-5182-83df-b1ca4eeab596,9.55817e+09,0.001,95.5817,0
1763251204.3634,BTCUSDT,Buy,0.002,95581.70,ZeroPlusTick,b0dfaaea-f2f2-5185-af38-b1b03b516a33,1.911634e+10,0.002,191.1634,0
1763251204.3718,BTCUSDT,Buy,0.015,95581.70,ZeroPlusTick,994ebd36-808b-5453-92ea-74cc0ba6f16a,1.4337255e+11,0.015,1433.7255,0
1763251204.768,BTCUSDT,Buy,0.01,95581.70,ZeroPlusTick,c7a4bcf2-104a-52e5-9787-25cc4bc9b940,9.55817e+10,0.01,955.817,0
1763251205.0745,BTCUSDT,Buy,0.001,95581.70,ZeroPlusTick,e0fca0a4-f922-5287-993f-0d8d8277e1ed,9.55817e+09,0.001,95.5817,0
1763251205.0868,BTCUSDT,Buy,0.007,95581.70,ZeroPlusTick,509bab3e-df37-5c7f-bde4-972944c90507,6.690719e+10,0.007,669.0719,0
1763251205.09,BTCUSDT,Buy,0.004,95581.70,ZeroPlusTick,38e07515-73cc-5f4f-86b5-15c91aab3cb4,3.823268e+10,0.004,382.3268,0
1763251205.252,BTCUSDT,Sell,0.002,95581.60,MinusTick,b3a0ba11-49c7-5c59-8684-74c3976e65b9,1.911632e+10,0.002,191.16320000000002,0
1763251205.4763,BTCUSDT,Sell,0.002,95581.60,ZeroMinusTick,9c75f951-3a30-5e1e-95d0-c986578a1800,1.911632e+10,0.002,191.16320000000002,0
1763251205.5898,BTCUSDT,Buy,0.006,95581.70,PlusTick,8a0c70bf-9283-52eb-a2ac-aa738275a0ce,5.734901999999999e+10,0.006,573.4902,0
1763251205.6002,BTCUSDT,Sell,0.02,95581.60,MinusTick,812531a8-aa3a-5789-bea5-1516c7a04f7c,1.911632e+11,0.02,1911.632,0
